"artifact","direct_dependencies"
"org.jboss.as:jboss-as-build:7.1.2.Final","316"
"org.apache.karaf:apache-karaf:2.1.1","67"
"org.kuali.rice:rice-impl:1.0.3.2","60"
"org.kuali.rice:rice-impl:1.0.3.3","60"
"org.apache.cxf:apache-cxf:2.6.1","59"
"org.apache.cxf:cxf-bundle:2.2.1","58"
"org.jvnet.hudson.main:hudson-core:1.353","58"
"org.jvnet.hudson.main:hudson-core:1.352","58"
"org.apache.cxf:cxf-bundle:2.2.8","57"
"org.jvnet.hudson.main:hudson-core:1.338","57"
"org.kuali.rice:rice-core-impl:2.2.0","57"
"openejb:openejb-core:2.0-G1M4","56"
"org.jasig.portal:uportal-impl:3.1.4","55"
"org.apache.cxf:cxf-bundle:2.6.1","55"
"org.apache.cxf:cxf-bundle-minimal:2.2.5","52"
"org.jvnet.hudson.main:hudson-core:1.319","51"
"org.jvnet.hudson.main:hudson-core:1.294","51"
"org.jvnet.hudson.main:hudson-core:1.302","49"
"org.kuali.rice:rice-core-impl:2.0.0-rc4","49"
"org.apache.cxf:cxf-bundle:2.6.0.fuse-71-047","46"
"org.glassfish.metro:wsit-impl:2.2","45"
"org.apache.cxf:cxf-bundle-minimal:2.0.13","45"
"org.jvnet.hudson.main:hudson-core:1.261","41"
"org.ow2.jasmine:deployme-maven-plugin:2.0-M1","41"
"org.jvnet.hudson.main:hudson-core:1.257","40"
"org.blueoxygen.cimande:cimande-core:2.0","40"
"openejb:openejb-core:2.1","40"
"org.dspace:dspace-api:1.7.0-rc2","39"
"org.dspace:dspace-api:1.8.0-rc1","38"
"org.apache.openejb:openejb-core:4.0.0-beta-1","38"
"org.jclouds:jclouds-allcompute:1.5.0-alpha.2","38"
"org.apache.cxf:cxf-bundle-minimal:2.2.3","37"
"jasperreports:jasperreports:3.5.3","37"
"org.drools:guvnor-webapp-core:5.5.0.Final","35"
"org.dspace:dspace-api:1.7.0-rc1","34"
"groovy:groovy:1.0-jsr-03","34"
"org.jclouds:jclouds-allcompute:1.3.2","33"
"org.objectweb.joram:joram-assembly:5.6.0","33"
"org.apache.stanbol:org.apache.stanbol.commons.solr.core:0.9.0-incubating","33"
"org.dspace:dspace-api:1.7.1","33"
"org.apache.continuum:continuum-core:1.3.1","33"
"org.codehaus.sonar:sonar-plugin-api:2.3-RC2","32"
"org.codehaus.sonar:sonar-plugin-api:2.4-RC1","32"
"org.jclouds:jclouds-allcompute:1.4.0","32"
"groovy:groovy:1.0","32"
"org.codehaus.redback:redback-struts2-integration:1.2-beta-1","32"
"de.huxhorn.lilith:de.huxhorn.lilith:0.9.33","32"
"org.glassfish.packager:glassfish-common-tmp:3.0-b71","32"
"org.glassfish.packager:glassfish-common-tmp:3.1-b14","32"
"org.glassfish.packager:glassfish-common-tmp:3.1-b32","32"
"org.glassfish.packager:glassfish-common-tmp:3.0.1-b11","31"
"org.glassfish.packager:glassfish-common-tmp:3.0.1-b15","31"
"net.thucydides:thucydides-core:0.9.0-alpha-6","31"
"org.jumpmind.symmetric:symmetric:2.0.beta.11","31"
"org.dspace:dspace-api:1.6.0-rc1","31"
"org.glassfish.appclient:gf-client-module:3.1-b08","31"
"org.jumpmind.symmetric:symmetric:2.0.rc.1a","31"
"org.glassfish.packager:glassfish-common-tmp:3.0.1-b08","31"
"org.glassfish.packager:glassfish-common-tmp:3.0.1-b06","31"
"org.ow2.jonas.assemblies:jonas-osgi:5.1.0-M3","31"
"org.glassfish.packager:glassfish-common-tmp:3.1.1-b10","31"
"org.glassfish.packager:glassfish-common-tmp:3.0-b69","31"
"org.glassfish.packager:glassfish-common-tmp:3.0-b72","31"
"org.glassfish.packager:glassfish-common-tmp:3.0-b73","31"
"org.apache.cxf.systests:cxf-systests-jaxrs:2.4.8","31"
"org.apache.cxf:cxf-bundle-jaxrs:2.4.0","31"
"org.glassfish.packager:glassfish-common-tmp:3.0.1-b16","30"
"org.ow2.petals:petals-kernel:2.4.1","30"
"org.codehaus.sonar:sonar-plugin-api:2.0RC2","30"
"org.codehaus.sonar:sonar-plugin-api:2.6","30"
"org.codehaus.sonar:sonar-plugin-api:2.6-RC1","30"
"org.glassfish.packager:glassfish-common-tmp:3.1-b08","30"
"org.glassfish.packager:glassfish-common-tmp:3.1-b05","30"
"org.ow2.jonas:jonas-ejb-container:5.1.0-M5","30"
"org.codehaus.redback:redback-struts2-integration:1.2.8","29"
"org.dspace:dspace-api:1.6.0-rc2","29"
"org.glassfish.packager:glassfish-common-tmp:3.1-b06","29"
"org.dspace:dspace-api:1.6.1","29"
"org.dspace:dspace-api:1.5.2","29"
"org.codehaus.sonar:sonar-plugin-api:2.1RC1","28"
"org.glassfish.main.web:web-glue:3.1.2","28"
"org.glassfish.packager:glassfish-common-tmp:3.0-b64","28"
"org.jclouds:jclouds-allcompute:1.1.0","28"
"org.ow2.easybeans.osgi:easybeans-modules-core:1.2.0-M2","28"
"org.ow2.jonas.assemblies.profiles:micro-jonas:5.2.0-RC1","27"
"org.efaps:efaps-kernel:1.17.3","27"
"berkano:berkano-taglib-unit:20050725.114133","27"
"org.kuali.rice:rice-impl:1.0.3.2-m2","27"
"org.codehaus.redback:redback-common-integrations:1.2-beta-1","27"
"org.glassfish.appclient:gf-client-module:3.0-b63","27"
"org.codehaus.sonar:sonar-plugin-api:2.0RC3","27"
"org.glassfish.web:web-glue:3.1-b17","27"
"org.glassfish.web:web-glue:3.1-b16","27"
"org.glassfish.packager:glassfish-common-tmp:3.0-b74b","27"
"org.glassfish.web:web-glue:3.1-b39","27"
"org.glassfish.web:web-glue:3.1-b40","27"
"org.jclouds:jclouds-allcompute:1.1.1","27"
"org.apache.struts:struts2-assembly:2.3.7","27"
"org.jasig.portlet:CalendarPortlet:1.0.0-M2","27"
"org.apache.cassandra:cassandra-all:1.1.1","26"
"org.apache.tika:tika-parsers:0.8","26"
"org.efaps:efaps-kernel:1.16.1","26"
"org.ow2.jonas:jonas-ejb-container:5.2.0","26"
"org.glassfish.appclient:gf-client-module:3.1-b33","26"
