"artifact","label"
"de.huxhorn.lilith:de.huxhorn.lilith.logback.appender.multiplex-core:0.9.42","4"
"ch.qos.logback:logback-core:1.0.1","1"
"de.huxhorn.sulky:de.huxhorn.sulky.codec:0.9.15","4"
"de.huxhorn.sulky:de.huxhorn.sulky.io:0.9.15","3"
"org.slf4j:slf4j-api:1.6.4","4"
"de.huxhorn.lilith:de.huxhorn.lilith.sender:0.9.42","5"
"com.google.api.client:google-api-data-youtube-v2-atom:1.0.9-alpha","9"
"com.google.api.client:google-api-client-xml:1.0.9-alpha","9"
"com.google.api.client:google-api-client-http:1.0.9-alpha","9"
"com.google.api.client:google-api-client-escape:1.0.9-alpha","9"
"com.google.api.client:google-api-client-util:1.0.9-alpha","10"
"net.contextfw:remoting:0.6.2","12"
"com.google.code.guice:guice:2.0","12"
"aopalliance:aopalliance:1.0","13"
"org.slf4j:slf4j-api:1.6.1","14"
"org.glassfish.web:web-naming:3.0.1-b19","485"
"javax.mail:mail:1.4.3","485"
"javax.activation:activation:1.1","17"
"org.jbehave:jbehave-scala:3.6.2","21"
"org.jbehave:jbehave-core:3.6.2","21"
"junit:junit-dep:4.8.2","6027"
"org.hamcrest:hamcrest-core:1.1","21"
"org.hamcrest:hamcrest-library:1.1","21"
"org.hamcrest:hamcrest-integration:1.1","23"
"commons-collections:commons-collections:3.2.1","24"
"commons-io:commons-io:1.4","25"
"commons-lang:commons-lang:2.5","26"
"org.codehaus.plexus:plexus-utils:2.0.5","27"
"org.freemarker:freemarker:2.3.16","28"
"com.thoughtworks.paranamer:paranamer:2.4","29"
"com.thoughtworks.xstream:xstream:1.3.1","31"
"xpp3:xpp3_min:1.1.4c","31"
"org.scala-lang:scala-library:2.9.1","32"
"org.apache.maven.skins:maven-default-skin:1.0","33"
"net.thucydides:thucydides-junit:0.9.0-alpha-3","97"
"net.thucydides:thucydides-core:0.9.0-alpha-3","97"
"cglib:cglib:2.2.2","97"
"commons-codec:commons-codec:1.6","37"
"com.opera:operadriver:0.10","41"
"com.opera:operalaunchers:0.6","39"
"com.google.protobuf:protobuf-java:2.4.1","40"
"commons-jxpath:commons-jxpath:1.3","41"
"org.apache.commons:commons-exec:1.1","42"
"org.ini4j:ini4j:0.5.2","43"
"org.seleniumhq.selenium:selenium-server:2.23.1","73"
"org.bouncycastle:bcprov-jdk15on:1.47","45"
"mx4j:mx4j-tools:3.0.1","46"
"org.mortbay.jetty:servlet-api-2.5:6.1.9","47"
"org.seleniumhq.selenium:jetty-repacked:7.6.1","48"
"net.jcip:jcip-annotations:1.0","49"
"org.seleniumhq.selenium:selenium-java:2.23.1","73"
"org.seleniumhq.selenium:selenium-android-driver:2.23.1","53"
"org.seleniumhq.selenium:selenium-remote-driver:2.23.1","53"
"org.json:json:20080701","53"
"org.seleniumhq.selenium:selenium-chrome-driver:2.23.1","54"
"org.seleniumhq.selenium:selenium-htmlunit-driver:2.23.1","243"
"org.seleniumhq.selenium:selenium-api:2.23.1","85"
"net.sourceforge.htmlunit:htmlunit:2.9","243"
"xalan:xalan:2.7.1","337"
"xalan:serializer:2.7.1","337"
"commons-lang:commons-lang:2.6","60"
"org.apache.httpcomponents:httpmime:4.1.2","61"
"net.sourceforge.htmlunit:htmlunit-core-js:2.9","62"
"xerces:xercesImpl:2.9.1","337"
"net.sourceforge.nekohtml:nekohtml:1.9.15","64"
"net.sourceforge.cssparser:cssparser:0.9.5","66"
"org.w3c.css:sac:1.3","66"
"org.apache.httpcomponents:httpclient:4.1.2","243"
"org.apache.httpcomponents:httpcore:4.1.2","68"
"org.seleniumhq.selenium:selenium-firefox-driver:2.23.1","70"
"commons-io:commons-io:2.0.1","70"
"org.seleniumhq.selenium:selenium-ie-driver:2.23.1","73"
"net.java.dev.jna:jna:3.4.0","72"
"net.java.dev.jna:platform:3.4.0","73"
"org.seleniumhq.selenium:selenium-iphone-driver:2.23.1","74"
"org.seleniumhq.selenium:selenium-safari-driver:2.23.1","75"
"org.seleniumhq.selenium:selenium-support:2.23.1","76"
"org.webbitserver:webbit:0.4.6","78"
"org.jboss.netty:netty:3.2.7.Final","78"
"org.yaml:snakeyaml:1.8","79"
"net.sf.opencsv:opencsv:2.0","80"
"commons-beanutils:commons-beanutils-core:1.8.3","112"
"com.googlecode.lambdaj:lambdaj:2.3.3","83"
"org.objenesis:objenesis:1.2","83"
"com.google.guava:guava:11.0.1","85"
"com.google.code.findbugs:jsr305:1.3.9","85"
"joda-time:joda-time:2.0","21483"
"com.thoughtworks.xstream:xstream:1.4.1","88"
"xmlpull:xmlpull:1.1.3.1","88"
"net.thucydides:thucydides-report-resources:0.9.0-alpha-3","89"
"org.apache.commons:commons-lang3:3.0.1","90"
"net.sf.flexjson:flexjson:2.1","91"
"org.freemarker:freemarker:2.3.19","92"
"net.sourceforge.jexcelapi:jxl:2.6.12","94"
"log4j:log4j:1.2.14","94"
"joda-time:joda-time-hibernate:1.3","95"
"com.h2database:h2:1.3.160","96"
"asm:asm:3.3.1","97"
"net.sf.extcos:extcos:0.3b","99"
"asm:asm-all:3.2","99"
"org.hibernate:hibernate-entitymanager:3.5.4-Final","109"
"org.hibernate:hibernate-core:3.5.4-Final","105"
"antlr:antlr:2.7.6","102"
"dom4j:dom4j:1.6.1","1169"
"xml-apis:xml-apis:1.0.b2","104"
"javax.transaction:jta:1.1","105"
"org.hibernate:hibernate-annotations:3.5.4-Final","109"
"org.hibernate:hibernate-commons-annotations:3.2.0.Final","107"
"javassist:javassist:3.9.0.GA","108"
"org.hibernate.javax.persistence:hibernate-jpa-2.0-api:1.0.0.Final","109"
"org.springframework:spring-core:3.1.1.RELEASE","112"
"org.springframework:spring-asm:3.1.1.RELEASE","111"
"commons-logging:commons-logging:1.1.1","112"
"org.springframework:spring-beans:3.1.1.RELEASE","113"
"org.springframework:spring-test:3.1.1.RELEASE","114"
"org.springframework:spring-context:3.1.1.RELEASE","13"
"org.springframework:spring-aop:3.1.1.RELEASE","13"
"org.springframework:spring-expression:3.1.1.RELEASE","117"
"org.springframework:spring-context-support:3.1.1.RELEASE","118"
"junit:junit-dep:4.10","119"
"com.google.inject:guice:3.0","121"
"javax.inject:javax.inject:1","121"
"org.ow2.odis:odis-utilities:0.0.2","126"
"org.ow2.odis:odis-core:0.0.2","126"
"org.objectweb.monolog:monolog:2.1.8","124"
"jdom:jdom:1.0","125"
"log4j:log4j:1.2.13","126"
"org.codehaus.httpcache4j.storage:storage-file:4.0-M3","85"
"org.codehaus.httpcache4j:httpcache4j-core:4.0-M3","85"
"org.codehaus.httpcache4j:httpcache4j-storage-api:4.0-M3","129"
"org.codehaus.httpcache4j:httpcache4j-api:4.0-M3","85"
"com.google.guava:guava:12.0","85"
"joda-time:joda-time:2.1","132"
"org.glassfish.fighterfish:osgi-ee-resources:1.0.0","146"
"org.glassfish.fighterfish:osgi-javaee-base:1.0.0","146"
"org.glassfish.common:glassfish-api:3.1-b41","146"
"org.glassfish.common:scattered-archive-api:3.1-b41","136"
"com.sun.enterprise:hk2:1.0.74","142"
"com.sun.enterprise:hk2-core:1.1.0","142"
"org.glassfish.hk2:class-model:1.1.0","140"
"junit:junit:4.3.1","140"
"com.sun.enterprise:config:1.0.74","142"
"org.jvnet:tiger-types:1.2","142"
"org.glassfish.hk2.external:bean-validator:1.0.74","144"
"com.googlecode.jtype:jtype:0.1.0","144"
"com.sun.enterprise:auto-depends:1.0.74","161"
"com.sun.enterprise:config-types:1.0.74","146"
"com.sun.grizzly:grizzly-utils:1.9.31","148"
"com.sun.grizzly:grizzly-lzma:1.9.31","148"
"org.glassfish.external:management-api:3.1.0-b001","149"
"org.glassfish.common:internal-api:3.1-b41","142"
"org.glassfish.admin:config-api:3.1-b41","142"
"com.sun.grizzly:grizzly-config:1.9.31","142"
"com.sun.enterprise:osgi-adapter:1.0.25","712"
"com.sun.grizzly:grizzly-http:1.9.31","157"
"com.sun.grizzly:grizzly-framework:1.9.31","155"
"com.sun.grizzly:grizzly-rcm:1.9.31","156"
"com.sun.grizzly:grizzly-portunif:1.9.31","157"
"org.glassfish.deployment:deployment-common:3.1-b41","149"
"org.glassfish.gmbal:gmbal:3.1.0-b001","149"
"org.glassfish.common:common-util:3.1-b41","160"
"org.glassfish.hk2.external:asm-all-repackaged:1.0.74","161"
"org.jclouds.labs:greenqloud-storage:1.5.0-beta.4","13687"
"org.jclouds.api:s3:1.5.0-beta.4","121"
"com.jamesmurty.utils:java-xmlbuilder:0.4","164"
"org.jclouds.common:aws-common:1.5.0-beta.4","121"
"org.jclouds:jclouds-core:1.5.0-beta.4","121"
"net.oauth.core:oauth:20100527","167"
"com.sun.jersey:jersey-core:1.12","168"
"com.google.inject.extensions:guice-assistedinject:3.0","169"
"org.99soft.guice:rocoto:6.1","170"
"javax.annotation:jsr250-api:1.0","171"
"com.google.code.gson:gson:2.2","172"
"org.jclouds:jclouds-blobstore:1.5.0-beta.4","173"
