"artifact","community"
"de.huxhorn.lilith:de.huxhorn.lilith.logback.appender.multiplex-core:0.9.42","0"
"ch.qos.logback:logback-core:1.0.1","0"
"de.huxhorn.sulky:de.huxhorn.sulky.codec:0.9.15","0"
"de.huxhorn.sulky:de.huxhorn.sulky.io:0.9.15","0"
"org.slf4j:slf4j-api:1.6.4","0"
"de.huxhorn.lilith:de.huxhorn.lilith.sender:0.9.42","0"
"com.google.api.client:google-api-data-youtube-v2-atom:1.0.9-alpha","1"
"com.google.api.client:google-api-client-xml:1.0.9-alpha","1"
"com.google.api.client:google-api-client-http:1.0.9-alpha","1"
"com.google.api.client:google-api-client-escape:1.0.9-alpha","1"
"com.google.api.client:google-api-client-util:1.0.9-alpha","1"
"net.contextfw:remoting:0.6.2","2"
"com.google.code.guice:guice:2.0","2"
"aopalliance:aopalliance:1.0","3"
"org.slf4j:slf4j-api:1.6.1","0"
"org.glassfish.web:web-naming:3.0.1-b19","4"
"javax.mail:mail:1.4.3","4"
"javax.activation:activation:1.1","5"
"org.jbehave:jbehave-scala:3.6.2","6"
"org.jbehave:jbehave-core:3.6.2","0"
"junit:junit-dep:4.8.2","0"
"org.hamcrest:hamcrest-core:1.1","0"
"org.hamcrest:hamcrest-library:1.1","0"
"org.hamcrest:hamcrest-integration:1.1","0"
"commons-collections:commons-collections:3.2.1","0"
"commons-io:commons-io:1.4","0"
"commons-lang:commons-lang:2.5","0"
"org.codehaus.plexus:plexus-utils:2.0.5","0"
"org.freemarker:freemarker:2.3.16","0"
"com.thoughtworks.paranamer:paranamer:2.4","0"
"com.thoughtworks.xstream:xstream:1.3.1","0"
"xpp3:xpp3_min:1.1.4c","7"
"org.scala-lang:scala-library:2.9.1","6"
"org.apache.maven.skins:maven-default-skin:1.0","0"
"net.thucydides:thucydides-junit:0.9.0-alpha-3","0"
"net.thucydides:thucydides-core:0.9.0-alpha-3","0"
"cglib:cglib:2.2.2","0"
"commons-codec:commons-codec:1.6","0"
"com.opera:operadriver:0.10","0"
"com.opera:operalaunchers:0.6","0"
"com.google.protobuf:protobuf-java:2.4.1","0"
"commons-jxpath:commons-jxpath:1.3","0"
"org.apache.commons:commons-exec:1.1","0"
"org.ini4j:ini4j:0.5.2","0"
"org.seleniumhq.selenium:selenium-server:2.23.1","0"
"org.bouncycastle:bcprov-jdk15on:1.47","0"
"mx4j:mx4j-tools:3.0.1","0"
"org.mortbay.jetty:servlet-api-2.5:6.1.9","0"
"org.seleniumhq.selenium:jetty-repacked:7.6.1","0"
"net.jcip:jcip-annotations:1.0","0"
"org.seleniumhq.selenium:selenium-java:2.23.1","0"
"org.seleniumhq.selenium:selenium-android-driver:2.23.1","0"
"org.seleniumhq.selenium:selenium-remote-driver:2.23.1","0"
"org.json:json:20080701","0"
"org.seleniumhq.selenium:selenium-chrome-driver:2.23.1","0"
"org.seleniumhq.selenium:selenium-htmlunit-driver:2.23.1","0"
"org.seleniumhq.selenium:selenium-api:2.23.1","0"
"net.sourceforge.htmlunit:htmlunit:2.9","0"
"xalan:xalan:2.7.1","8"
"xalan:serializer:2.7.1","9"
"commons-lang:commons-lang:2.6","0"
"org.apache.httpcomponents:httpmime:4.1.2","10"
"net.sourceforge.htmlunit:htmlunit-core-js:2.9","0"
"xerces:xercesImpl:2.9.1","0"
"net.sourceforge.nekohtml:nekohtml:1.9.15","0"
"net.sourceforge.cssparser:cssparser:0.9.5","0"
"org.w3c.css:sac:1.3","0"
"org.apache.httpcomponents:httpclient:4.1.2","10"
"org.apache.httpcomponents:httpcore:4.1.2","10"
"org.seleniumhq.selenium:selenium-firefox-driver:2.23.1","0"
"commons-io:commons-io:2.0.1","0"
"org.seleniumhq.selenium:selenium-ie-driver:2.23.1","0"
"net.java.dev.jna:jna:3.4.0","0"
"net.java.dev.jna:platform:3.4.0","0"
"org.seleniumhq.selenium:selenium-iphone-driver:2.23.1","0"
"org.seleniumhq.selenium:selenium-safari-driver:2.23.1","0"
"org.seleniumhq.selenium:selenium-support:2.23.1","0"
"org.webbitserver:webbit:0.4.6","0"
"org.jboss.netty:netty:3.2.7.Final","0"
"org.yaml:snakeyaml:1.8","3"
"net.sf.opencsv:opencsv:2.0","0"
"commons-beanutils:commons-beanutils-core:1.8.3","0"
"com.googlecode.lambdaj:lambdaj:2.3.3","0"
"org.objenesis:objenesis:1.2","0"
"com.google.guava:guava:11.0.1","0"
"com.google.code.findbugs:jsr305:1.3.9","3"
"joda-time:joda-time:2.0","0"
"com.thoughtworks.xstream:xstream:1.4.1","0"
"xmlpull:xmlpull:1.1.3.1","0"
"net.thucydides:thucydides-report-resources:0.9.0-alpha-3","0"
"org.apache.commons:commons-lang3:3.0.1","0"
"net.sf.flexjson:flexjson:2.1","0"
"org.freemarker:freemarker:2.3.19","0"
"net.sourceforge.jexcelapi:jxl:2.6.12","0"
"log4j:log4j:1.2.14","11"
"joda-time:joda-time-hibernate:1.3","0"
"com.h2database:h2:1.3.160","0"
"asm:asm:3.3.1","0"
"net.sf.extcos:extcos:0.3b","0"
"asm:asm-all:3.2","8"
"org.hibernate:hibernate-entitymanager:3.5.4-Final","0"
"org.hibernate:hibernate-core:3.5.4-Final","8"
"antlr:antlr:2.7.6","8"
"dom4j:dom4j:1.6.1","8"
"xml-apis:xml-apis:1.0.b2","12"
"javax.transaction:jta:1.1","13"
"org.hibernate:hibernate-annotations:3.5.4-Final","0"
"org.hibernate:hibernate-commons-annotations:3.2.0.Final","8"
"javassist:javassist:3.9.0.GA","14"
"org.hibernate.javax.persistence:hibernate-jpa-2.0-api:1.0.0.Final","8"
"org.springframework:spring-core:3.1.1.RELEASE","3"
"org.springframework:spring-asm:3.1.1.RELEASE","3"
"commons-logging:commons-logging:1.1.1","13"
"org.springframework:spring-beans:3.1.1.RELEASE","3"
"org.springframework:spring-test:3.1.1.RELEASE","0"
"org.springframework:spring-context:3.1.1.RELEASE","3"
"org.springframework:spring-aop:3.1.1.RELEASE","3"
"org.springframework:spring-expression:3.1.1.RELEASE","3"
"org.springframework:spring-context-support:3.1.1.RELEASE","0"
"junit:junit-dep:4.10","0"
"com.google.inject:guice:3.0","3"
"javax.inject:javax.inject:1","3"
"org.ow2.odis:odis-utilities:0.0.2","12"
"org.ow2.odis:odis-core:0.0.2","12"
"org.objectweb.monolog:monolog:2.1.8","12"
"jdom:jdom:1.0","13"
"log4j:log4j:1.2.13","5"
"org.codehaus.httpcache4j.storage:storage-file:4.0-M3","3"
"org.codehaus.httpcache4j:httpcache4j-core:4.0-M3","3"
"org.codehaus.httpcache4j:httpcache4j-storage-api:4.0-M3","3"
