"artifact","direct_usages"
"org.slf4j:slf4j-api:1.6.1","273"
"commons-logging:commons-logging:1.1.1","256"
"commons-io:commons-io:1.4","220"
"commons-collections:commons-collections:3.2.1","208"
"commons-lang:commons-lang:2.4","176"
"javax.inject:javax.inject:1","151"
"aopalliance:aopalliance:1.0","144"
"commons-logging:commons-logging:1.0.4","134"
"log4j:log4j:1.2.14","132"
"javax.mail:mail:1.4","131"
"commons-beanutils:commons-beanutils:1.7.0","125"
"commons-codec:commons-codec:1.3","124"
"dom4j:dom4j:1.6.1","124"
"commons-codec:commons-codec:1.4","122"
"commons-collections:commons-collections:3.2","120"
"javax.servlet:servlet-api:2.5","120"
"javax.activation:activation:1.1","114"
"commons-lang:commons-lang:2.6","109"
"log4j:log4j:1.2.16","106"
"javax.annotation:jsr250-api:1.0","103"
"javax.xml.bind:jaxb-api:2.1","103"
"commons-httpclient:commons-httpclient:3.1","102"
"commons-lang:commons-lang:2.5","101"
"org.glassfish.external:management-api:3.0.0-b012","100"
"commons-logging:commons-logging:1.1","99"
"org.slf4j:slf4j-api:1.6.4","96"
"junit:junit:3.8.1","92"
"wsdl4j:wsdl4j:1.6.2","92"
"jdom:jdom:1.0","91"
"asm:asm:3.1","88"
"org.apache.geronimo.specs:geronimo-stax-api_1.0_spec:1.0.1","87"
"org.glassfish.gmbal:gmbal:3.0.0-b023","81"
"org.slf4j:slf4j-api:1.5.8","81"
"cglib:cglib-nodep:2.1_3","77"
"commons-fileupload:commons-fileupload:1.2.1","73"
"commons-logging:commons-logging-api:1.1","73"
"com.sun:tools:1.6.0","72"
"org.slf4j:slf4j-api:1.5.6","70"
"org.springframework:spring-context:3.0.5.RELEASE","70"
"stax:stax-api:1.0.1","68"
"org.glassfish.external:management-api:3.1.0-b001","66"
"org.slf4j:slf4j-log4j12:1.6.1","65"
"oro:oro:2.0.8","64"
"org.clojure:tools.logging:0.2.3","63"
"org.clojure:core.incubator:0.1.0","63"
"junit:junit:3.8.2","63"
"ant:ant:1.6.5","62"
"commons-io:commons-io:2.0.1","61"
"commons-lang:commons-lang:2.3","60"
"org.apache.geronimo.specs:geronimo-jta_1.1_spec:1.1.1","60"
"xerces:xercesImpl:2.9.1","60"
"com.google.inject:guice:3.0","60"
"org.apache.geronimo.specs:geronimo-jms_1.1_spec:1.1.1","59"
"commons-cli:commons-cli:1.0","59"
"log4j:log4j:1.2.13","59"
"org.apache.maven:maven-plugin-api:2.0","58"
"commons-collections:commons-collections:3.1","58"
"javax.xml.stream:stax-api:1.0-2","58"
"cglib:cglib:2.2","58"
"javax.mail:mail:1.4.3","58"
"javax.validation:validation-api:1.0.0.GA","57"
"org.osgi:org.osgi.compendium:4.2.0","57"
"org.apache.geronimo.specs:geronimo-ws-metadata_2.0_spec:1.1.2","57"
"javax.mail:mail:1.4.1","57"
"javax.transaction:jta:1.1","56"
"xerces:xercesImpl:2.8.1","56"
"antlr:antlr:2.7.7","56"
"joda-time:joda-time:1.6.2","55"
"org.slf4j:slf4j-api:1.5.11","55"
"junit:junit:4.3.1","54"
"javax.persistence:persistence-api:1.0","54"
"org.glassfish.gmbal:gmbal:3.1.0-b001","54"
"commons-beanutils:commons-beanutils:1.8.3","53"
"com.sun.enterprise:hk2:1.0.0","53"
"org.apache.geronimo.specs:geronimo-annotation_1.0_spec:1.1.1","51"
"wsdl4j:wsdl4j:1.6.1","51"
"org.apache.commons:commons-lang3:3.1","50"
"org.objectweb.monolog:monolog-api:2.1.12","50"
"com.thoughtworks.xstream:xstream:1.3.1","50"
"org.osgi:org.osgi.core:4.2.0","49"
"org.clojure:clojure:1.2.0","49"
"xml-apis:xml-apis:1.3.04","49"
