artifact,betweenness_centrality
commons-logging:commons-logging:1.1,8637.71428571429
commons-beanutils:commons-beanutils:1.7.0,3814.63095238095
dom4j:dom4j:1.6.1,2684.28095238095
jaxen:jaxen:1.1.1,2624.31666666667
org.glassfish.packager:glassfish-common-tmp:3.1.1-b10,2610
org.glassfish.packager:glassfish-cluster:3.1.1-b10,2552
org.glassfish.fighterfish:osgi-javaee-base:1.0.0,2504.66666666667
org.glassfish.packager:glassfish-jpa:3.1.1-b10,2498
org.glassfish.packager:glassfish-jca:3.1.1-b10,2495.5
org.glassfish.packager:glassfish-ha:3.1.1-b10,2455
org.apache.maven:maven-core:2.0.9,2431.56904761905
org.glassfish.packager:glassfish-corba:3.1.1-b10,2358
org.glassfish.packager:glassfish-web:3.1.1-b10,2346
com.sun.grizzly:grizzly-config:1.9.31,2297.5
org.glassfish.packager:glassfish-javahelp:3.1.1-b10,2295
org.glassfish.packager:shoal:3.1.1-b10,2277
org.glassfish.packager:glassfish-jdbc:3.1.1-b10,2202
org.glassfish.packager:glassfish-upgrade:3.1.1-b10,2196
org.glassfish.packager:glassfish-jta:3.1.1-b10,2189
org.glassfish.packager:glassfish-registration:3.1.1-b10,2089
org.glassfish.packager:glassfish-osgi-http:3.1.1-b10,2066
org.codehaus.plexus:plexus-container-default:1.0-alpha-9-stable-1,2000.55476190476
org.glassfish.packager:glassfish-jsf:3.1.1-b10,1980.5
org.glassfish.packager:glassfish-gui:3.1.1-b10,1979
org.glassfish.packager:glassfish-management:3.1.1-b10,1936
org.glassfish.packager:glassfish-registration:3.0-b63,1922
org.glassfish.packager:glassfish-upgrade:3.0-b63,1916
org.glassfish.fighterfish:osgi-ee-resources:1.0.0,1908.66666666667
org.glassfish.packager:glassfish-jpa:3.0-b63,1865
org.glassfish.packager:glassfish-management:3.0-b63,1844
org.glassfish.packager:glassfish-osgi-gui:3.1.1-b10,1842
org.glassfish.packager:glassfish-jca:3.0-b63,1830
org.apache.maven.shared:maven-plugin-testing-harness:1.1,1813.19285714286
org.glassfish.packager:glassfish-ejb-lite:3.1.1-b10,1769.83333333333
org.glassfish.packager:glassfish-jpa:3.0.1-b08,1760
org.glassfish.packager:glassfish-codegen:3.0-b63,1748
org.glassfish.packager:glassfish-jca:3.0.1-b08,1740
org.glassfish.packager:glassfish-web:3.1-b30,1639
org.glassfish.packager:glassfish-corba:3.0.1-b08,1634
org.glassfish.packager:glassfish-corba:3.0-b63,1629
org.glassfish.packager:glassfish-common-full:3.1.1-b10,1578.16666666667
org.glassfish.packager:glassfish-cluster:3.1-b12,1549
commons-cli:commons-cli:1.0,1536.5
org.glassfish.packager:glassfish-jta:3.0-b63,1508
org.glassfish.packager:glassfish-jta:3.0.1-b08,1506
org.glassfish.packager:glassfish-ha:3.1-b12,1494
org.glassfish.packager:glassfish-osgi-http:3.1-b30,1492
org.glassfish.packager:glassfish-jpa:3.1-b12,1482
org.glassfish.packager:glassfish-web:3.0-b63,1468
org.glassfish.packager:glassfish-web:3.0.1-b08,1464
org.glassfish.packager:glassfish-registration:3.1-b12,1461
org.glassfish.packager:glassfish-javahelp:3.1-b12,1437
org.glassfish.packager:glassfish-upgrade:3.1-b12,1435
org.glassfish.packager:glassfish-jca:3.1-b12,1429
org.glassfish.packager:glassfish-management:3.1-b12,1407
org.glassfish.packager:glassfish-jsf:3.0-b63,1397
org.glassfish.packager:glassfish-corba:3.1-b12,1389
org.glassfish.packager:glassfish-jsf:3.0.1-b08,1388
org.glassfish.packager:glassfish-osgi-gui:3.1-b30,1359
commons-httpclient:commons-httpclient:3.1,1349.42142857143
org.apache.neethi:neethi:2.0.4,1347.9380952381
org.codehaus.plexus.registry:plexus-registry-commons:1.0-alpha-2,1339.5
org.glassfish.packager:glassfish-osgi-http:3.0-b63,1333
org.glassfish.packager:glassfish-web:3.1-b12,1329
org.glassfish.packager:glassfish-osgi-http:3.0.1-b08,1320
org.glassfish.packager:glassfish-cluster:3.1.1-b01,1314
org.glassfish.packager:glassfish-jts:3.1.1-b10,1313.16666666667
com.sun.enterprise:hk2:1.0.74,1309.83333333333
org.apache.cxf:cxf-rt-frontend-jaxrs:2.2.6,1302
org.glassfish.packager:glassfish-ha:3.1.1-b01,1302
org.glassfish.packager:glassfish-jta:3.1-b12,1294
org.apache.maven.shared:maven-common-artifact-filters:1.2,1293.89523809524
com.sun.enterprise:hk2-core:1.1.0,1277.41666666667
org.glassfish.packager:glassfish-jdbc:3.1-b30,1274
org.glassfish.packager:glassfish-common-tmp:3.1.1-b01,1261
org.glassfish.packager:glassfish-jpa:3.0-b74,1234
org.glassfish.packager:glassfish-jdbc:3.0-b63,1221
javax.xml.bind:jaxb-api:2.1,1220.22619047619
org.glassfish.packager:glassfish-javahelp:3.1.1-b01,1220
org.glassfish.packager:glassfish-osgi-http:3.1-b12,1217
org.glassfish.packager:glassfish-jdbc:3.0.1-b08,1208
org.glassfish.packager:glassfish-common-tmp:3.0-b63,1204.5
org.glassfish.packager:glassfish-jpa:3.1-b31,1200
org.glassfish.packager:glassfish-jsf:3.1-b12,1197
org.glassfish.packager:shoal:3.1.1-b01,1196
org.apache.axis2:axis2-jaxws-api:1.3,1189
org.glassfish.packager:glassfish-jpa:3.1-b30,1185
org.glassfish.packager:glassfish-registration:3.0-b74,1181
org.glassfish.packager:glassfish-gui:3.1-b30,1181
org.glassfish.packager:glassfish-upgrade:3.1.1-b01,1178
org.glassfish.packager:glassfish-jca:3.0-b74,1174
org.glassfish.packager:glassfish-common-tmp:3.0-b74,1174
org.glassfish.packager:glassfish-web:3.1-b31,1166
org.glassfish.packager:glassfish-cluster:3.1.1-b02,1163
org.glassfish.packager:glassfish-corba:3.0-b74,1157
org.glassfish.web:jstl-impl:1.2,1154
org.glassfish.packager:glassfish-common-tmp:3.0.1-b08,1152
org.glassfish.packager:glassfish-upgrade:3.0-b74,1144
org.glassfish.packager:glassfish-common-tmp:3.1.1-b02,1144
org.glassfish.packager:glassfish-management:3.0-b74,1142
jotm:jotm:2.0.10,1141.81666666667
org.glassfish.common:glassfish-api:3.1-b41,1139
org.glassfish.packager:glassfish-gui:3.0-b63,1139
org.glassfish.packager:glassfish-ha:3.1.1-b02,1137
org.glassfish.packager:glassfish-corba:3.1-b31,1134
org.glassfish.packager:glassfish-javahelp:3.0-b74,1133
org.glassfish.packager:glassfish-registration:3.1.1-b01,1128
org.glassfish.packager:glassfish-gui:3.0.1-b08,1124
org.glassfish.packager:glassfish-web:3.0-b74a,1122
org.glassfish.packager:glassfish-corba:3.1-b30,1120
commons-digester:commons-digester:1.8,1114.4
org.glassfish.packager:glassfish-web:3.0-b74,1114
org.glassfish.packager:glassfish-osgi-admin-console:3.1-b12,1110
com.sun.enterprise:osgi-adapter:1.0.25,1104.5
org.glassfish.packager:glassfish-jca:3.1-b31,1104
org.glassfish.packager:glassfish-common-tmp:3.1.1-b11,1099
org.glassfish.packager:glassfish-corba:3.0-b74a,1098.16666666667
org.glassfish.packager:glassfish-nucleus:3.1.1-b01,1097.5
xom:xom:1.0,1090
org.glassfish.packager:glassfish-jca:3.1-b40,1090
