artifact,release,dependes,depends
de.huxhorn.lilith:de.huxhorn.lilith.logback.appender.multiplex-core:0.9.42,2012-03-12T00:10:56+01:00[Europe/Paris],0,3
ch.qos.logback:logback-core:1.0.1,2012-03-07T07:59:31+01:00[Europe/Paris],2,0
de.huxhorn.sulky:de.huxhorn.sulky.codec:0.9.15,2012-03-12T00:14:05+01:00[Europe/Paris],3,2
de.huxhorn.sulky:de.huxhorn.sulky.io:0.9.15,2012-03-12T00:15:06+01:00[Europe/Paris],1,0
org.slf4j:slf4j-api:1.6.4,2011-10-31T23:45:37+01:00[Europe/Paris],96,0
de.huxhorn.lilith:de.huxhorn.lilith.sender:0.9.42,2012-03-12T00:12:34+01:00[Europe/Paris],1,0
com.google.api.client:google-api-data-youtube-v2-atom:1.0.9-alpha,2010-07-31T20:38:04+02:00[Europe/Paris],0,1
com.google.api.client:google-api-client-xml:1.0.9-alpha,2010-07-31T20:33:53+02:00[Europe/Paris],1,2
com.google.api.client:google-api-client-http:1.0.9-alpha,2010-07-31T20:33:46+02:00[Europe/Paris],2,1
com.google.api.client:google-api-client-escape:1.0.9-alpha,2010-07-31T20:33:36+02:00[Europe/Paris],1,0
com.google.api.client:google-api-client-util:1.0.9-alpha,2010-07-31T20:33:41+02:00[Europe/Paris],2,0
net.contextfw:remoting:0.6.2,2016-08-10T17:08:35+02:00[Europe/Paris],0,3
com.google.code.guice:guice:2.0,2016-08-10T17:08:35+02:00[Europe/Paris],3,0
aopalliance:aopalliance:1.0,2005-08-01T11:23:54+02:00[Europe/Paris],144,0
org.slf4j:slf4j-api:1.6.1,2010-07-05T22:29:21+02:00[Europe/Paris],273,0
org.glassfish.web:web-naming:3.0.1-b19,2010-05-20T00:02:16+02:00[Europe/Paris],0,1
javax.mail:mail:1.4.3,2010-05-20T02:48:31+02:00[Europe/Paris],58,2
javax.activation:activation:1.1,2006-05-03T01:20:27+02:00[Europe/Paris],114,0
org.jbehave:jbehave-scala:3.6.2,2012-04-10T10:22:04+02:00[Europe/Paris],0,3
org.jbehave:jbehave-core:3.6.2,2012-04-10T10:18:32+02:00[Europe/Paris],1,11
junit:junit-dep:4.8.2,2010-10-05T10:50:31+02:00[Europe/Paris],13,2
org.hamcrest:hamcrest-core:1.1,2007-07-18T21:11:26+02:00[Europe/Paris],18,0
org.hamcrest:hamcrest-library:1.1,2007-07-18T21:13:07+02:00[Europe/Paris],20,1
org.hamcrest:hamcrest-integration:1.1,2007-07-18T21:12:34+02:00[Europe/Paris],10,0
commons-collections:commons-collections:3.2.1,2008-04-15T03:08:17+02:00[Europe/Paris],208,0
commons-io:commons-io:1.4,2008-01-20T21:44:18+01:00[Europe/Paris],220,0
commons-lang:commons-lang:2.5,2010-02-25T02:23:42+01:00[Europe/Paris],101,0
org.codehaus.plexus:plexus-utils:2.0.5,2010-04-25T18:15:42+02:00[Europe/Paris],39,0
org.freemarker:freemarker:2.3.16,2009-12-08T10:12+01:00[Europe/Paris],22,0
com.thoughtworks.paranamer:paranamer:2.4,2011-10-29T15:46:50+02:00[Europe/Paris],3,0
com.thoughtworks.xstream:xstream:1.3.1,2008-12-06T16:50:15+01:00[Europe/Paris],50,2
xpp3:xpp3_min:1.1.4c,2007-11-28T07:18:05+01:00[Europe/Paris],19,0
org.scala-lang:scala-library:2.9.1,2011-08-31T10:39:52+02:00[Europe/Paris],22,0
org.apache.maven.skins:maven-default-skin:1.0,2006-05-08T00:30:55+02:00[Europe/Paris],12,0
net.thucydides:thucydides-junit:0.9.0-alpha-3,2012-06-18T15:51:34+02:00[Europe/Paris],0,10
net.thucydides:thucydides-core:0.9.0-alpha-3,2012-06-18T15:41:01+02:00[Europe/Paris],1,23
cglib:cglib:2.2.2,2011-05-10T15:54:13+02:00[Europe/Paris],9,1
