artifact,hcentrality
com.sun.grizzly.samples:grizzly-comet-chat-iframe:1.9.15b,0
org.apache.geronimo.testsupport:test-war-javaee_5:3.0.0,0
org.kohsuke:graphviz-api:1.1,0
org.eclipse.birt.runtime:org.eclipse.datatools.modelbase.sql:1.0.5.v201110151330,0
org.hornetq:hornetq-logging:2.2.0.EAP-QA-10162,0
org.apache.myfaces.extensions.cdi:dist-project:0.9.3,0
org.kuali.rice:rice-db:2.0.1,0
org.apache.tapestry:tapestry-json:5.3.4,0
org.jvnet.hudson.plugins:status-view:1.0,0
org.mule.examples:mule-example-stockquote:3.1.1,0
commons-graph:commons-graph:0.8.1,0
org.glassfish.flashlight:flashlight-agent:3.0-b29,0
org.glassfish.appclient:appclient-scripts:3.0.1-b09,0
com.cedarsoft.commons.old:string-conversion:1.6.3,0
fr.velossity.osgi:ServiceAPI4WBStep4:1.0.8,0
org.glassfish.connectors:descriptors:3.0-b42,0
org.glassfish.docs.man:manpages:3.1-b04,0
org.openengsb.domain:openengsb-domain-notification:1.1.0.M1,0
org.soitoolkit.commons.poms:soitoolkit-default-parent:0.1.9,0
org.apache.solr:solr-dataimporthandler:1.4.1,0
org.hobsoft.symmetry:symmetry-support-codec:0.2.0,0
org.ow2.jasmine.monitoring:alarm-snmp-ejb:1.2.1-M9,0
org.jvnet.hudson.plugins:lavalamp:1.4,0
org.glassfish.build:build:3.0-b53,0
org.ops4j.pax.wicket.samples.plain:org.ops4j.pax.wicket.samples.plain.simple:0.8.1,0
com.sun.grizzly.samples:grizzly-comet-jmaki:1.9.24,0
org.ow2.easybeans:easybeans-jpa-default-toplink-essentials:1.2.0-M4,0
net.sourceforge.parallelcolt:optimization:1.0,0
org.apache.npanday:dotnet-archetypes:1.4.0-incubating,0
net.sf.tacos:tapdoc-project:0.7.0,0
com.proofpoint.platform:packaging:0.52,0
tagishauth:tagishauth:1.0.3,0
it.tidalwave.northernwind:it-tidalwave-northernwind:1.1-ALPHA-8,0
org.ow2.jasmine.kerneos:kerneos-login:1.3.1-M2,0
org.jvnet.hudson.main:remoting:1.239,0
org.jumpmind.symmetric:symmetric-parent:2.3.0,0
org.ow2.novabpm.admin:admin-modules-components:4.0,0
spice:spice-netserve:1.0-b1,0
org.eclipse.jetty:test-continuation:7.0.0.RC0,0
net.java.dev.designgridlayout:designgridlayout:1.9,0
org.ow2.jonas.camel:archetypes:1.5.6,0
org.nuiton:mavenpom4redmine:2.5.4,0
org.glassfish.extras:glassfish-embedded-shell-jar:3.2-b05,0
org.apache.geronimo.testsupport:test-ejb-j2ee_1.3:2.1.6,0
com.legsem.legstar:legstar-distribution:1.5.2,0
org.codehaus.fabric3:fabric3-runtime-ant-parent-pom:1.8.1,0
org.glassfish.jdbc:jdbc:3.0.1-b14,0
org.glassfish.admingui:console-jms-plugin:3.0.1-b19,0
org.glassfish.connectors:connectors:3.1-b30,0
org.mule.examples:mule-example-loanbroker-credit-agency:2.0.2,0
com.sun.enterprise:hk2-parent:0.3.77,0
com.sun.enterprise:tiger-types-osgi:0.3.22,0
