artifact,page_rank
commons-logging:commons-logging:1.1.1,32.876156
javax.activation:activation:1.1,24.313681
org.slf4j:slf4j-api:1.6.1,17.859954
aopalliance:aopalliance:1.0,15.9878375
stax:stax-api:1.0.1,15.116137
javax.xml.bind:jaxb-api:2.1,15.0373505
org.glassfish.external:management-api:3.0.0-b012,13.793928
asm:asm:3.1,13.587633
javax.xml.stream:stax-api:1.0-2,13.4416625
javax.inject:javax.inject:1,10.792085
junit:junit:3.8.1,10.337624
commons-logging:commons-logging-api:1.1,10.285638
commons-logging:commons-logging:1.0.4,9.0740905
junit:junit:4.3.1,8.8626785
javax.servlet:servlet-api:2.5,8.619723
commons-io:commons-io:1.4,8.4613595
commons-codec:commons-codec:1.4,8.348607
com.googlecode.jtype:jtype:0.1.0,7.5853495
commons-logging:commons-logging:1.1,7.5214975
org.slf4j:slf4j-api:1.6.4,7.4519335
javax.annotation:jsr250-api:1.0,7.4214185
org.slf4j:slf4j-api:1.5.8,7.135266
log4j:log4j:1.2.14,7.077364
xml-apis:xml-apis:1.3.04,7.0284635
commons-collections:commons-collections:3.2.1,6.94439
antlr:antlr:2.7.7,6.475649
com.google.code.findbugs:jsr305:1.3.9,6.305938
com.sun:tools:1.6.0,5.9485725
org.slf4j:slf4j-api:1.5.11,5.8807
commons-lang:commons-lang:2.4,5.7795925
dom4j:dom4j:1.6.1,5.6299755
commons-collections:commons-collections:3.2,5.6059205
org.apache.geronimo.specs:geronimo-jta_1.1_spec:1.1.1,5.442321
commons-codec:commons-codec:1.3,5.1924295
javax.help:javahelp:2.0.02,5.181966
com.sun.enterprise:config:1.0.0,5.101709
log4j:log4j:1.2.16,4.9264475
xml-apis:xml-apis:1.3.03,4.9005565
junit:junit:3.8.2,4.8195855
org.glassfish:bean-validator:3.0-JBoss-4.0.2_03,4.812726
commons-beanutils:commons-beanutils:1.7.0,4.7700815
org.glassfish.external:management-api:3.1.0-b001,4.676573
xml-apis:xml-apis:1.0.b2,4.6459305
jdom:jdom:1.0,4.5998265
org.springframework:spring-core:3.0.5.RELEASE,4.5952195
cglib:cglib-nodep:2.1_3,4.4403325
org.glassfish.gmbal:gmbal-api-only:3.0.0-b023,4.3855415
org.slf4j:slf4j-api:1.5.6,4.297065
org.glassfish.hk2:osgi-resource-locator:1.0.1,4.2837285
javax.activation:activation:1.1.1,3.942513
javax.mail:mail:1.4,3.8925925
javax.mail:mail:1.4.3,3.835668
wsdl4j:wsdl4j:1.6.2,3.8306275
joda-time:joda-time:1.6.2,3.810899
javax.ws.rs:jsr311-api:1.1.1,3.6005835
commons-logging:commons-logging:1.0.3,3.5928485
log4j:log4j:1.2.13,3.5209215
commons-lang:commons-lang:2.5,3.3656945
org.apache.geronimo.specs:geronimo-stax-api_1.0_spec:1.0.1,3.329017
xpp3:xpp3_min:1.1.4c,3.273393
commons-httpclient:commons-httpclient:3.1,3.220897
org.apache.geronimo.specs:geronimo-activation_1.1_spec:1.0.2,3.2077135
