artifact,trans_usages
org.apache.directory.server:apacheds-core-entry:1.5.5,11
org.glassfish.branding:branding:3.2-b01,11
org.mortbay.jetty:jetty-html:6.1.25,1
org.apache.tuscany.sca:tuscany-definitions:1.6.2,2
org.apache.cocoon:cocoon-sitemap-api:1.0.0,9
org.ow2.easybeans:easybeans-util:1.1.0-M3,10
org.glassfish.common:container-common:3.1.1-b05,3
com.adobe.blazeds:blazeds-remoting:3.0,3
org.glassfish.packager:glassfish-osgi-http:3.0.1-b20,3
org.glassfish.core:api-exporter:3.1-b09,2
org.glassfish.deployment:dol:3.0-b29,1
com.sun.xml.stream.buffer:streambuffer:1.5,2
org.ow2.util:util-file:1.0.32,4
org.glassfish.scripting:grizzly-jruby-module:1.0-b17,24
org.apache.geronimo.framework:xmlbeans:2.1.4,8
org.glassfish.packager:glassfish-jsf:3.0-b74,11
org.sonatype.sisu.inject:guice-bean-inject:2.2.0,1
org.seleniumhq.selenium:selenium-server:2.19.0,2
org.glassfish.deployment:deployment-admin:3.1-b35,11
org.databene:databene-commons:0.5.8,1
org.apache.maven:maven-plugin-api:2.0.11,3
org.apache.myfaces.tobago:tobago-theme-standard:1.0.30,1
com.github.widebase:widebase-io-column_2.9.1:0.1.0,2
com.sun.jersey.glassfish.v3.osgi:jersey-gf-server:1.4-ea01,5
org.glassfish.packager:shoal:3.1-b31,23
org.apache.derby:derbynet:10.4.2.0,9
msv:msv:20050913,2
org.jboss.deployers:jboss-deployers-core:2.0.4.GA,1
org.glassfish.hk2:hk2-api:1.6.35,4
org.springframework:org.springframework.aop:3.1.2.RELEASE,1
org.glassfish.transaction:jta:3.1-b33,2
org.ow2.easybeans:easybeans-component-smartclient-client:1.1.0,4
net.databinder:unfiltered-netty-server_2.9.0:0.6.1,1
org.glassfish.extras:javaee-frag:3.1-b10,5
org.objectweb.dream.dreamannotation:dream-annotation:1.0.3,4
org.ow2.jonas.jonas-itests-applications-jaxws-add:module-addbean-api:5.2.0-M5,1
org.glassfish.registration:glassfish-registration:3.1-b32,2
org.codehaus.cargo:cargo-core-api-util:1.0.4,4
org.ow2.util:util-archive-api:1.0.7,25
org.ow2.jonas:jonas-trans-interceptors-iiop:5.1.0-M3,3
org.jboss.resteasy:async-http-servlet-3.0:2.3.3.Final,1
org.eclipse.jetty:jetty-client:7.5.0.RC2,1
org.nuiton.jaxx:jaxx-runtime:2.2.4,1
org.ow2.util:util-ee-metadata-car-api:1.0.21,19
org.glassfish.flashlight:flashlight-agent:3.0.1-b19,7
com.sun.enterprise:config:0.3.98,6
org.ow2.util:util-plan-deploy-api:1.0.37,25
org.glassfish.security:security:3.1.1-b05,3
org.ow2.spec.ee:ow2-jta-1.1-spec:1.0.3,57
org.codehaus.redback:redback-keys-cached:1.2.2,2
org.apache.geronimo.specs:geronimo-jaspic_1.0_spec:1.0,75
org.glassfish.external:ldapbp-repackaged:3.0.1,4
com.sun.jersey.glassfish.v3.osgi:jersey-gf-statsproviders:1.1.4.1,7
fr.opensagres.xdocreport:fr.opensagres.xdocreport.template.freemarker:0.9.6,1
org.glassfish.deployment:deployment-common:3.0.1-b19,10
org.glassfish.web:web-naming:3.0.1-b20,6
org.glassfish.branding:branding:3.1-b09,2
org.apache.maven:maven-aether-provider:3.0,23
com.sun.grizzly:grizzly-portunif:1.9.18-M2,198
org.glassfish.web:web-cli:3.0.1,2
org.glassfish.extras:osgi-container:3.0-b74a,61
com.sun.enterprise:auto-depends:1.0.30,72
org.seleniumhq.selenium:selenium-firefox-driver:2.19.0,5
org.glassfish.common:common-util:3.0.1-b15,2
org.chromattic:chromattic.testgenerator:1.1.0-beta7,5
org.jboss.microcontainer:jboss-dependency:2.0.0.CR4,2
org.ow2.easybeans:easybeans-component-jmx:1.1.0-RC1,3
org.glassfish.connectors:gf-connectors-connector:3.1-b10,4
com.jgeppert.struts2.jquery:struts2-jquery-grid-plugin:3.1.1,1
org.glassfish.packager:glassfish-upgrade:3.0-b74b,3
org.apache.lucene:lucene-highlighter:3.2.0,3
org.apache.activemq:activeio-core:3.0.1,5
org.eclipse.jetty:jetty-io:8.1.0.RC5,3
org.glassfish.common:stats77:3.1-b32,9
org.glassfish.common:amx-j2ee:3.0-b68,3
com.sun.grizzly:grizzly-comet:1.9.7,1
com.sun.xml.bind:jaxb-osgi:2.2.2-promoted-b92,28
org.apache.camel:camel-test:2.7.0,2
org.apache.geronimo.framework:geronimo-interceptor:2.1.5,22
org.glassfish.admingui:console-ejb-plugin:3.1.1-b10,4
org.netbeans.api:org-openide-dialogs:RELEASE71,2
org.slf4j:jcl-over-slf4j:1.5.2,4
org.glassfish.ha:ha-shoal-cache-store:3.1-b32,5
org.codehaus.sonar:sonar-colorizer:2.6-RC1,2
com.netflix.curator:curator-client:1.0.3,2
org.glassfish:javax.servlet:3.0.1-b16,10
org.ow2.bundles:ow2-util-url:1.0.17,7
org.codehaus.cargo:cargo-core-api-module:1.0.6,13
org.glassfish.common:glassfish-naming:3.1-b06,22
org.jboss.sasl:jboss-sasl:1.0.1.Final,9
org.jboss.arquillian.container:arquillian-container-test-spi:1.0.0.CR1,2
org.ow2.util:util-ee-metadata-common-api:1.0.26,6
org.glassfish:javax.annotation:3.2-b03,22
org.glassfish.common:glassfish-api:3.0.1-b02,1
org.apache.lucene:lucene-spellchecker:2.9.1,3
org.glassfish.admingui:console-jca-plugin:3.0.1-b19,4
org.ow2.jonas:eclipse-compiler:5.3.0-RC1,3
org.glassfish.external:libpam4j-repackaged:3.1.1-b09,2
org.glassfish.osgi-platforms:equinox:3.1-b25,1
org.glassfish.packager:glassfish-ejb-lite:3.0-b74a,12
org.apache.wicket:wicket-datetime:1.4.19,1
org.ow2.util:util-url:1.0.14,44
org.glassfish.external:ant:3.0.1-b20,15
org.zkoss.zk:zk:6.5.1,1
org.glassfish.connectors:connectors-inbound-runtime:3.1-b08,1
org.glassfish.appclient.server:appclient-connector:3.1-b08,6
org.apache.maven.archiva:archiva-policies:1.0-beta-3,3
org.codehaus.plexus.security:plexus-security-rbac-profile:1.0-alpha-11,2
org.glassfish.branding:branding:3.0-b72,28
org.glassfish:osgi-http:3.0-b74a,21
org.codehaus.gmaven.runtime:gmaven-runtime-support:1.3,5
org.glassfish.common:internal-api:3.1-b15,4
org.glassfish:javax.enterprise.deploy:3.1-b12,18
gnu-regexp:gnu-regexp:1.1.4,1
org.neo4j:neo4j-management:1.4.2,1
org.codehaus.fabric3:fabric3-spi:1.9,1
com.proofpoint.platform:jmx:0.56,1
org.springframework.batch:spring-batch-infrastructure:2.0.3.RELEASE,2
org.glassfish.connectors:connectors-admin:3.0-b74b,2
org.glassfish.ha:ha-shoal-cache-store:3.1-b17,12
com.sun.enterprise:hk2:1.0.74,178
org.glassfish.common:glassfish-naming:3.1.1-b02,6
org.apache.geronimo.modules:geronimo-webservices:2.1.5,12
org.glassfish.common:amx-j2ee:3.0-b74b,4
org.eclipse.jetty:jetty-jmx:7.6.1.v20120215,1
org.codehaus.enunciate:enunciate-spring-app-rt:1.16-RC3,1
org.glassfish.security:jaspic.provider.framework:3.1.1-b02,4
org.apache.cxf:cxf-rt-management:2.1.10,1
tomcat:jasper-compiler:5.5.12,15
org.glassfish:javax.ejb:3.1-b06,50
org.eclipse.jetty:jetty-io:8.0.0.M1,5
org.apache.cxf:cxf-rt-core:2.0.10,1
com.legsem.legstar:legstar-coxbrt:1.5.3,1
org.ow2.cmi:cmi-api-server:2.0.9,8
org.glassfish.common:stats77:3.1.1-b10,38
org.sonatype.aether:aether-connector-wagon:1.8,7
org.atmosphere:atmosphere-compat-weblogic:0.7.1,5
org.glassfish.connectors:descriptors:3.1.1,1
org.ow2.easybeans:easybeans-component-smartclient-api:1.1.0-M3,4
com.sun.enterprise:auto-depends:1.0.55,10
org.xwiki.commons:xwiki-commons-component-api:4.1-milestone-2,3
org.glassfish.ejb:ejb-timer-databases:3.0-b74a,7
org.jboss.arquillian.protocol:arquillian-protocol-osgi:1.0.0.Alpha4.SP2,1
com.sun.enterprise:tiger-types-osgi:0.3.15,5
org.ow2.util:util-jmx-api:1.0.13,33
org.slf4j:slf4j-log4j12:1.3.1,2
org.glassfish.deployment:deployment-client:3.1-b08,4
org.glassfish.connectors:connectors-internal-api:3.1.1-b09,1
org.springframework:spring:2.0,1
org.glassfish.packager:felix:3.0-b72,45
org.glassfish.packager:javadb:3.0-b74a,2
